,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 II H.2:2,faust://document/faustedition/2_II_H.2_2,2 II H.2:2,Witness,,43,0,,,1832-06-06,,1832-06-06,1832.0,1832,214
2 II H.5a,faust://document/faustedition/2_II_H.5a,2 II H.5a,Witness,,44,0,,,1832-06-06,,1832-06-06,1832.0,1832,220
2 II H.6a,faust://document/faustedition/2_II_H.6a,2 II H.6a,Witness,,45,0,,,,,,,,222
2 II H.6b,faust://document/faustedition/2_II_H.6b,2 II H.6b,Witness,,46,0,,,,,,,,223
2 II H.11a,faust://document/faustedition/2_II_H.11a,2 II H.11a,Witness,,47,0,,,,,,,,230
2 II H.13a,faust://document/faustedition/2_II_H.13a,2 II H.13a,Witness,,48,0,,,,,,,,233
2 II H.16,faust://document/faustedition/2_II_H.16,2 II H.16,Witness,,49,0,,,1830-01-18,,1830-01-18,1830.0,1830,236
2 II H.21,faust://document/faustedition/2_II_H.21,2 II H.21,Witness,,50,0,,,1830-06-26,,1830-06-26,1830.0,1830,242
2 II H.26,faust://document/faustedition/2_II_H.26,2 II H.26,Witness,,51,2,,,1830-01-18,,1830-01-18,1830.0,1830,247
2 II H.29,faust://document/faustedition/2_II_H.29,2 II H.29,Witness,,52,0,,,1830-06-26,,1830-06-26,1830.0,1830,251
2 II H.30,faust://document/faustedition/2_II_H.30,2 II H.30,Witness,,53,4,,,1830-06-26,,1830-06-26,1830.0,1830,252
2 II H.31,faust://document/faustedition/2_II_H.31,2 II H.31,Witness,,54,4,,,1830-06-26,,1830-06-26,1830.0,1830,253
2 II H.32,faust://document/faustedition/2_II_H.32,2 II H.32,Witness,,55,0,,,1832-06-06,,1832-06-06,1832.0,1832,255
2 II H.37,faust://document/faustedition/2_II_H.37,2 II H.37,Witness,,56,0,,,1830-06-26,,1830-06-26,1830.0,1830,261
2 II H.40,faust://document/faustedition/2_II_H.40,2 II H.40,Witness,,57,0,,,1830-02-02,,1830-02-02,1830.0,1830,264
2 II H.43,faust://document/faustedition/2_II_H.43,2 II H.43,Witness,,58,0,,,1830-06-26,,1830-06-26,1830.0,1830,267
2 II H.44,faust://document/faustedition/2_II_H.44,2 II H.44,Witness,,59,3,,,1830-06-26,,1830-06-26,1830.0,1830,268
2 II H.50,faust://document/faustedition/2_II_H.50,2 II H.50,Witness,,60,0,,,1830-06-26,,1830-06-26,1830.0,1830,275
2 II H.59,faust://document/faustedition/2_II_H.59,2 II H.59,Witness,,61,0,,,1830-06-26,,1830-06-26,1830.0,1830,284
2 II H.68,faust://document/faustedition/2_II_H.68,2 II H.68,Witness,,62,0,,,1830-03-27,1830-12-10,1830-03-27,1830.0,1830,293
2 II H.72,faust://document/faustedition/2_II_H.72,2 II H.72,Witness,,63,2,,,1831-02-26,,1831-02-26,1831.0,1831,297
2 III H.4,faust://document/faustedition/2_III_H.4,2 III H.4,Witness,,64,0,,,1826-06-10,1826-12-11,1826-06-10,1826.0,1826,313
2 III H.12a,faust://document/faustedition/2_III_H.12a,2 III H.12a,Witness,,65,0,,,,,,,,331
2 III H.45a,faust://document/faustedition/2_III_H.45a,2 III H.45a,Witness,,66,0,,,,,,,,375
2 III H.45b,faust://document/faustedition/2_III_H.45b,2 III H.45b,Witness,,67,0,,,,,,,,376
2 III H.46a,faust://document/faustedition/2_III_H.46a,2 III H.46a,Witness,,68,0,,,,,,,,378
2 III H.46b,faust://document/faustedition/2_III_H.46b,2 III H.46b,Witness,,69,0,,,1826-04-01,1826-10-11,1826-04-01,1826.0,1826,379
2 III H.48,faust://document/faustedition/2_III_H.48,2 III H.48,Witness,,70,0,,,1826-05-26,,1826-05-26,1826.0,1826,381
2 III H.50,faust://document/faustedition/2_III_H.50,2 III H.50,Witness,,71,0,,,1826-05-26,,1826-05-26,1826.0,1826,387
2 III H.60,faust://document/faustedition/2_III_H.60,2 III H.60,Witness,,72,0,,,1826-05-02,1826-06-14,1826-05-02,1826.0,1826,409
2 III H.61,faust://document/faustedition/2_III_H.61,2 III H.61,Witness,,73,3,,,1826-05-26,,1826-05-26,1826.0,1826,410
2 III H.64e,faust://document/faustedition/2_III_H.64e,2 III H.64e,Witness,,74,0,,,,,,,,418
2 III H.66,faust://document/faustedition/2_III_H.66,2 III H.66,Witness,,75,0,,,1824-10-10,,1824-10-10,1824.0,1824,420
2 III H.68,faust://document/faustedition/2_III_H.68,2 III H.68,Witness,,76,0,,,1826-05-26,,1826-05-26,1826.0,1826,423
2 III H.69,faust://document/faustedition/2_III_H.69,2 III H.69,Witness,,77,4,,,1826-05-26,,1826-05-26,1826.0,1826,424
2 III H.76,faust://document/faustedition/2_III_H.76,2 III H.76,Witness,,78,0,,,1824-04-14,,1824-04-14,1824.0,1824,434
2 III H.81,faust://document/faustedition/2_III_H.81,2 III H.81,Witness,,79,0,,,1824-04-14,,1824-04-14,1824.0,1824,440
2 III H.81a,faust://document/faustedition/2_III_H.81a,2 III H.81a,Witness,,80,5,,,1826-05-26,,1826-05-26,1826.0,1826,441
2 III H.81b*,faust://document/faustedition/2_III_H.81b_,2 III H.81b*,Witness,,81,0,,,,,,,,442
2 IV H.4,faust://document/faustedition/2_IV_H.4,2 IV H.4,Witness,,82,0,,,1832-06-06,,1832-06-06,1832.0,1832,446
2 IV H.7b,faust://document/faustedition/2_IV_H.7b,2 IV H.7b,Witness,,83,0,,,,,,,,452
2 IV H.9,faust://document/faustedition/2_IV_H.9,2 IV H.9,Witness,,84,0,,,1831-11-27,,1831-11-27,1831.0,1831,454
2 IV H.11,faust://document/faustedition/2_IV_H.11,2 IV H.11,Witness,,85,4,,,1832-06-06,,1832-06-06,1832.0,1832,456
2 IV H.12,faust://document/faustedition/2_IV_H.12,2 IV H.12,Witness,,86,0,,,1831-10-28,,1831-10-28,1831.0,1831,457
2 IV H.13b,faust://document/faustedition/2_IV_H.13b,2 IV H.13b,Witness,,87,0,,,,,,,,460
2 IV H.14,faust://document/faustedition/2_IV_H.14,2 IV H.14,Witness,,88,0,,,1832-06-06,,1832-06-06,1832.0,1832,461
2 IV H.15,faust://document/faustedition/2_IV_H.15,2 IV H.15,Witness,,89,6,,,1832-06-06,,1832-06-06,1832.0,1832,462
2 IV H.17,faust://document/faustedition/2_IV_H.17,2 IV H.17,Witness,,90,0,,,1831-07-01,,1831-07-01,1831.0,1831,464
2 IV H.19,faust://document/faustedition/2_IV_H.19,2 IV H.19,Witness,,91,0,,,,,,,,466
2 IV H.22a,faust://document/faustedition/2_IV_H.22a,2 IV H.22a,Witness,,92,0,,,1831-11-27,,1831-11-27,1831.0,1831,471
2 IV H.22c,faust://document/faustedition/2_IV_H.22c,2 IV H.22c,Witness,,93,3,,,1831-11-27,,1831-11-27,1831.0,1831,473
2 V H.0d,faust://document/faustedition/2_V_H.0d,2 V H.0d,Witness,,94,0,,,,,,,,481
2 V H.0e,faust://document/faustedition/2_V_H.0e,2 V H.0e,Witness,,95,0,,,,,,,,482
2 V H.14a*,faust://document/faustedition/2_V_H.14a_,2 V H.14a*,Witness,,96,0,,,,,,,,500
2 V H.16,faust://document/faustedition/2_V_H.16,2 V H.16,Witness,,97,0,,,1825-03-17,1831-04-01,1825-03-17,1825.0,1825,504
2 V H.35a*,faust://document/faustedition/2_V_H.35a_,2 V H.35a*,Witness,,98,0,,,,,,,,527
2 V H.36,faust://document/faustedition/2_V_H.36,2 V H.36,Witness,,99,0,,,1830-12-18,,1830-12-18,1830.0,1830,528
2 V H.37d,faust://document/faustedition/2_V_H.37d,2 V H.37d,Witness,,100,0,,,,,,,,533
H P9a,faust://document/faustedition/H_P9a,H P9a,Witness,,101,0,,,,,,,,546
H P22,faust://document/faustedition/H_P22,H P22,Witness,,102,0,,,,,,,,553
H P42,faust://document/faustedition/H_P42,H P42,Witness,,103,0,,,,,,,,561
H P68 Var,faust://document/faustedition/H_P68_Var,H P68 Var,Witness,,104,0,,,1798-05-06,,1798-05-06,1798.0,1798,569
H P82a,faust://document/faustedition/H_P82a,H P82a,Witness,,105,0,,,,,,,,575
H P123.3,faust://document/faustedition/H_P123.3,H P123.3,Witness,,106,0,,,,,,,,596
H P123.4,faust://document/faustedition/H_P123.4,H P123.4,Witness,,107,0,,,,,,,,597
H P123.6,faust://document/faustedition/H_P123.6,H P123.6,Witness,,108,0,,,,,,,,599
H P123.7,faust://document/faustedition/H_P123.7,H P123.7,Witness,,109,0,,,,,,,,600
H P123.8,faust://document/faustedition/H_P123.8,H P123.8,Witness,,110,0,,,,,,,,601
H P123.9,faust://document/faustedition/H_P123.9,H P123.9,Witness,,111,0,,,,,,,,602
H P148,faust://document/faustedition/H_P148,H P148,Witness,,112,0,,,,,,,,608
H P156a*,faust://document/faustedition/H_P156a_,H P156a*,Witness,,113,0,,,,,,,,610
H P167,faust://document/faustedition/H_P167,H P167,Witness,,114,0,,,,,,,,619
H P174,faust://document/faustedition/H_P174,H P174,Witness,,115,0,,,,,,,,621
H P176,faust://document/faustedition/H_P176,H P176,Witness,,116,0,,,,,,,,622
H P176 Var,faust://document/faustedition/H_P176_Var,H P176 Var,Witness,,117,0,,,,,,,,623
H P179,faust://document/faustedition/H_P179,H P179,Witness,,118,0,,,,,,,,625
H P190b,faust://document/faustedition/H_P190b,H P190b,Witness,,119,0,,,,,,,,633
H P204,faust://document/faustedition/H_P204,H P204,Witness,,120,0,,,1830-06-02,,1830-06-02,1830.0,1830,638
2 II H.48,faust://document/faustedition/2_II_H.48,2 II H.48,Witness,,121,2,,,1830-06-02,1830-06-02,1830-06-02,1830.0,1830,273
D.4alpha,faust://document/faustedition/D.4alpha,D.4alpha,Witness,,122,0,,,,,,,,655
"gsa_1: GSA_25_XIX,4","faust://document/gsa_1/GSA_25_XIX,4","gsa_1: GSA_25_XIX,4",UnknownRef,,123,0,,,1829-08-30,,1829-08-30,1829.0,1829,659
gsa_2: GSA_25_W_1714,faust://document/gsa_2/GSA_25_W_1714,gsa_2: GSA_25_W_1714,UnknownRef,,124,2,,,,,,,,662
bohnenkamp: H_P179.1,faust://document/bohnenkamp/H_P179.1,bohnenkamp: H_P179.1,UnknownRef,,125,0,,,,,,,,666
bohnenkamp: H_P182,faust://document/bohnenkamp/H_P182,bohnenkamp: H_P182,UnknownRef,,126,0,,,1832-06-06,,1832-06-06,1832.0,1832,665
H P167 i_r_u,faust://inscription/faustedition/H_P167/i_r_u,H P167 i_r_u,Inscription,H P167,127,0,,,1825-04-06,,1825-04-06,1825.0,1825,673
H P65 i_uebrige,faust://inscription/faustedition/H_P65/i_uebrige,H P65 i_uebrige,Inscription,H P65,128,0,,,1798-05-06,,1798-05-06,1798.0,1798,675
J.3-1,faust://document/faustedition/J.3-1,J.3-1,Witness,,129,0,,,,,,,,681
J.3-2,faust://document/faustedition/J.3-2,J.3-2,Witness,,130,0,,,,,,,,682
bohnenkamp: P10,faust://document/bohnenkamp/P10,bohnenkamp: P10,UnknownRef,,131,0,,,,,,,,683
fischer_lamberg: P170a,faust://document/fischer_lamberg/P170a,fischer_lamberg: P170a,UnknownRef,,132,0,,,,,,,,685
wa: P179.1,faust://document/wa/P179.1,wa: P179.1,UnknownRef,,133,0,,,,,,,,691
wa: P179.2,faust://document/wa/P179.2,wa: P179.2,UnknownRef,,134,0,,,,,,,,689
wa: P179.3,faust://document/wa/P179.3,wa: P179.3,UnknownRef,,135,0,,,,,,,,690
wa: P191Var,faust://document/wa/P191Var,wa: P191Var,UnknownRef,,136,0,,,,,,,,692
wa: P179.2 i_2_r,faust://inscription/wa/P179.2/i_2_r,wa: P179.2 i_2_r,Inscription,wa: P179.2,137,2,,,,,,,,695
R 2,faust://document/faustedition/R_2,R 2,Witness,,138,0,,,,,,,,699
R 3,faust://document/faustedition/R_3,R 3,Witness,,139,0,,,,,,,,700
T 0 H,faust://document/faustedition/T_0_H,T 0 H,Witness,,140,0,,,,,,,,702
T 3 H.2,faust://document/faustedition/T_3_H.2,T 3 H.2,Witness,,141,0,,,,,,,,707
T 3 H.3,faust://document/faustedition/T_3_H.3,T 3 H.3,Witness,,142,0,,,,,,,,708
T 6 H.1,faust://document/faustedition/T_6_H.1,T 6 H.1,Witness,,143,0,,,,,,,,714
T 6 H.2,faust://document/faustedition/T_6_H.2,T 6 H.2,Witness,,144,0,,,,,,,,715
Testhandschrift,faust://document/faustedition/Testhandschrift,Testhandschrift,Witness,,145,0,,,,,,,,716
H P6,faust://document/faustedition/H_P6,H P6,Witness,,146,5,1773-06-09,1773-06-09,1775-11-08,1775-11-08,1774-08-24,1774.0,1773 … 1775,543
1 H.7,faust://document/faustedition/1_H.7,1 H.7,Witness,,147,4,1775-11-06,1775-11-06,1788-08-25,1788-08-25,1782-04-01,1782.0,1775 … 1788,10
1 H.5,faust://document/faustedition/1_H.5,1 H.5,Witness,,148,7,1775-12-31,1775-12-31,1777-01-01,1777-01-01,1776-07-01,1776.0,1776,8
J.1,faust://document/faustedition/J.1,J.1,Witness,,149,13,1781-12-31,1781-12-31,1783-01-01,1783-01-01,1782-07-02,1782.0,1782,679
1 H.11,faust://document/faustedition/1_H.11,1 H.11,Witness,,150,16,1786-05-31,1786-05-31,1787-03-01,1787-03-01,1786-10-15,1786.0,1786 … 1787,14
H P22 i_uebrige,faust://inscription/faustedition/H_P22/i_uebrige,H P22 i_uebrige,Inscription,H P22,151,20,1787-12-31,1787-12-31,1789-01-01,1789-01-01,1788-07-01,1788.0,1788,676
H P13,faust://document/faustedition/H_P13,H P13,Witness,,152,21,1788-04-30,1788-04-30,1789-10-01,1789-10-01,1789-01-14,1789.0,1788 … 1789,549
H P65,faust://document/faustedition/H_P65,H P65,Witness,,153,31,1789-12-31,1789-12-31,1794-01-01,1794-01-01,1792-01-01,1792.0,1790 … 1793,566
S,faust://document/faustedition/S,S,Witness,,154,31,1790-03-31,1790-03-31,1790-07-01,1790-07-01,1790-05-16,1790.0,1790,701
1 H.13,faust://document/faustedition/1_H.13,1 H.13,Witness,,155,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,16
2 II H.5 i_r,faust://inscription/faustedition/2_II_H.5/i_r,2 II H.5 i_r,Inscription,2 II H.5,156,39,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,43
2 V H.15a i_r_gt,faust://inscription/faustedition/2_V_H.15a/i_r_gt,2 V H.15a i_r_gt,Inscription,2 V H.15a,157,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,56
2 II H.5 i_v,faust://inscription/faustedition/2_II_H.5/i_v,2 II H.5 i_v,Inscription,2 II H.5,158,38,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,76
2 II H.5,faust://document/faustedition/2_II_H.5,2 II H.5,Witness,,159,38,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,219
H P8,faust://document/faustedition/H_P8,H P8,Witness,,160,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,544
H P9,faust://document/faustedition/H_P9,H P9,Witness,,161,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,545
H P14,faust://document/faustedition/H_P14,H P14,Witness,,162,38,1797-06-23,1797-06-23,1801-04-08,1801-04-08,1799-05-16,1799.0,1797 … 1801,550
H P26,faust://document/faustedition/H_P26,H P26,Witness,,163,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,555
H P50,faust://document/faustedition/H_P50,H P50,Witness,,164,39,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,563
H P67,faust://document/faustedition/H_P67,H P67,Witness,,165,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,567
H P68,faust://document/faustedition/H_P68,H P68,Witness,,166,40,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,568
H P69,faust://document/faustedition/H_P69,H P69,Witness,,167,39,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,570
H P75,faust://document/faustedition/H_P75,H P75,Witness,,168,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,571
H P81,faust://document/faustedition/H_P81,H P81,Witness,,169,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,573
H P96,faust://document/faustedition/H_P96,H P96,Witness,,170,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,579
H P97,faust://document/faustedition/H_P97,H P97,Witness,,171,39,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,580
bohnenkamp: H_P9a,faust://document/bohnenkamp/H_P9a,bohnenkamp: H_P9a,UnknownRef,,172,39,1797-06-23,,,,1797-06-23,1797.0,1797,667
H P22 i_2_o,faust://inscription/faustedition/H_P22/i_2_o,H P22 i_2_o,Inscription,H P22,173,40,1797-06-23,,,,1797-06-23,1797.0,1797,669
H P22 i_2_u,faust://inscription/faustedition/H_P22/i_2_u,H P22 i_2_u,Inscription,H P22,174,41,1797-06-23,,,,1797-06-23,1797.0,1797,670
H P65 i_4_r,faust://inscription/faustedition/H_P65/i_4_r,H P65 i_4_r,Inscription,H P65,175,40,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,671
1 H.4,faust://document/faustedition/1_H.4,1 H.4,Witness,,176,39,1795-09-30,1795-09-30,1797-06-25,1797-06-25,1796-08-12,1796.0,1795 … 1797,7
H P20,faust://document/faustedition/H_P20,H P20,Witness,,177,41,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,552
H P82,faust://document/faustedition/H_P82,H P82,Witness,,178,42,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,574
H P121a,faust://document/faustedition/H_P121a,H P121a,Witness,,179,43,1797-08-31,1797-08-31,1797-10-01,1797-10-01,1797-09-15,1797.0,1797,593
H P98,faust://document/faustedition/H_P98,H P98,Witness,,180,48,1797-10-31,1797-10-31,1798-04-01,1798-04-01,1798-01-15,1798.0,1797 … 1798,581
H P22 i_1_o,faust://inscription/faustedition/H_P22/i_1_o,H P22 i_1_o,Inscription,H P22,181,49,1797-12-31,1797-12-31,1798-01-01,1798-01-01,1797-12-31,1797.0,1798 … 1797,668
2 V H.15a,faust://document/faustedition/2_V_H.15a,2 V H.15a,Witness,,182,51,1798-02-28,1798-02-28,1798-05-06,1798-05-06,1798-04-02,1798.0,1798,502
H P91,faust://document/faustedition/H_P91,H P91,Witness,,183,52,1798-02-28,1798-02-28,1798-05-06,1798-05-06,1798-04-02,1798.0,1798,577
H P11,faust://document/faustedition/H_P11,H P11,Witness,,184,54,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,547
H P12,faust://document/faustedition/H_P12,H P12,Witness,,185,53,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,548
H P15,faust://document/faustedition/H_P15,H P15,Witness,,186,53,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,551
1 H.10 i_uebrige,faust://inscription/faustedition/1_H.10/i_uebrige,1 H.10 i_uebrige,Inscription,1 H.10,187,56,1798-05-04,1798-05-04,1798-05-06,1798-05-06,1798-05-05,1798.0,1798,1
1 H.10,faust://document/faustedition/1_H.10,1 H.10,Witness,,188,56,1798-05-04,1798-05-04,1798-05-06,1798-05-06,1798-05-05,1798.0,1798,13
H P4,faust://document/faustedition/H_P4,H P4,Witness,,189,77,1798-07-31,1798-07-31,1798-09-16,1798-09-16,1798-08-23,1798.0,1798,541
1 H.3,faust://document/faustedition/1_H.3,1 H.3,Witness,,190,78,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,6
H P3,faust://document/faustedition/H_P3,H P3,Witness,,191,79,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,540
H P5,faust://document/faustedition/H_P5,H P5,Witness,,192,78,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,542
1 H.9,faust://document/faustedition/1_H.9,1 H.9,Witness,,193,84,1799-06-20,1799-06-20,1799-11-05,1799-11-05,1799-08-28,1799.0,1799,12
2 III H.9,faust://document/faustedition/2_III_H.9,2 III H.9,Witness,,194,86,1799-06-30,1799-06-30,1800-01-02,1800-01-02,1799-10-01,1799.0,1799 … 1800,326
2 III H.10,faust://document/faustedition/2_III_H.10,2 III H.10,Witness,,195,86,1799-06-30,1799-06-30,1800-01-02,1800-01-02,1799-10-01,1799.0,1799 … 1800,328
H P25,faust://document/faustedition/H_P25,H P25,Witness,,196,85,1799-06-30,1799-06-30,1801-04-08,1801-04-08,1800-05-19,1800.0,1799 … 1801,554
H P1,faust://document/faustedition/H_P1,H P1,Witness,,197,98,1800-04-12,1800-04-12,1801-04-08,1801-04-08,1800-10-09,1800.0,1800 … 1801,539
H P84 ,faust://document/faustedition/H_P84,H P84 ,Witness,,198,93,1800-04-12,1800-04-12,1800-04-14,1800-04-14,1800-04-13,1800.0,1800,576
